drug_class,OmniDrugClass
ABL Inhibitor (pan),ABL Inhibitor
ABL1 Inhibitor,ABL Inhibitor
ABL2 Inhibitor,ABL Inhibitor
ABL2 Inhibitor(obsoleted),ABL Inhibitor
Adenosine Targeting,Adenosine Targeting
Akt Inhibitor (Pan),AKT Inhibitor
AKT Inhibitor (Pan) - ATP competitive,AKT Inhibitor
Akt1 Inhibitor,AKT Inhibitor
Akt2 Inhibitor,AKT Inhibitor
Akt3 Inhibitor,AKT Inhibitor
Akt3 Inhibitor(obsoleted),AKT Inhibitor
ALK Inhibitor,ALK Inhibitor
Antibiotic Antineoplastic,Antibiotic Antineoplastic
Anticonvulsant Agent,Anticonvulsant Agent
Antidiabetic Agent,Antidiabetic Agent
Antifungal Agent,Antifungal Agent
Antimicrotubule Agent,Antimicrotubule Agent
Antisense Therapy,Antisense Therapy
ARAF Inhibitor,RAF Inhibitor
ARAF Inhibitor(obsoleted),RAF Inhibitor
Aromatase Inhibitor,Aromatase Inhibitor
ATM Inhibitor,ATM Inhibitor
ATR Inhibitor,ATR Inhibitor
AURK Inhibitor (Pan),AURK Inhibitor
Aurka Inhibitors,AURK Inhibitor
Aurkb Inhibitors,AURK Inhibitor
Aurkc Inhibitors,AURK Inhibitor
AXL Inhibitor,AXL Inhibitor
BCL-XL inhibitor,BCL Inhibitor
BCL2 Family Inhibitor,BCL Inhibitor
BCL2 inhibitor,BCL Inhibitor
BCL6 Inhibitor,BCL Inhibitor
BCR-ABL Inhibitor,BCR-ABL Inhibitor
BET  Inhibitor (Pan),BET Inhibitor
BIRC5 Inhibitor,BIRC Inhibitor
BRAF Inhibitor,RAF Inhibitor
BRD2 Inhibitor,BRD Inhibitor
BRD3  Inhibitor,BRD Inhibitor
BRD4  Inhibitor,BRD Inhibitor
BRD4-NUT Inhibitor,BRD-NUT Inhibitor
BTK inhibitor,BTK Inhibitor
c-MYC Inhibitor,MYC Inhibitor
CD19 Antibody,CD19 Antibody
CD20 Antibody,CD20 Antibody
CD3 Antibody,CD3 Antibody
CD33 Antibody,CD33 Antibody
CD37 Antibody,CD37 Antibody
CD38 Antibody,CD38 Antibody
CD39 Antibody,CD39 Antibody
CD40 Antibody,CD40 Antibody
CD47 Antibody,CD47 Antibody
CD73 Antibody,CD73 Antibody
CDK Inhibitor (Pan),CDK Inhibitor
CDK1 Inhibitor,CDK Inhibitor
CDK2 Inhibitor,CDK Inhibitor
CDK2/4 Inhibitor,CDK Inhibitor
CDK4 Inhibitor,CDK Inhibitor
CDK4/6 Inhibitor,CDK Inhibitor
CDK5 Inhibitor,CDK Inhibitor
CDK6 Inhibitor,CDK Inhibitor
CDK7 Inhibitor,CDK Inhibitor
CDK8 Inhibitor,CDK Inhibitor
CDK9 Inhibitor,CDK Inhibitor
Chemotherapy - Alkylating,Chemotherapy
Chemotherapy - Anthracycline,Chemotherapy
Chemotherapy - Antimetabolite,Chemotherapy
Chemotherapy - Platinum,Chemotherapy
Chemotherapy - Taxane,Chemotherapy
CHK Inhibitor (Pan),CHK Inhibitor
CHK1 Inhibitor,CHK Inhibitor
CHK2 Inhibitor,CHK Inhibitor
CRAF Inhibitor,RAF Inhibitor
CSF1 Antibody,CSF Antibody
CSF1 targeted immunotherapy,CSF Targeted Immunotherapy
CSF1R Antibody,CSF Antibody
CSF1R Inhibitor,CSF Inhibitor
CTLA4 Antibody,CTLA Antibody
CTNNB1 Inhibitor,CTNNB Inhibitor
CXCR Antagonist,CXCR Antagonist
CXCR4 Inhibitor,CXCR Inhibitor
DDR1 Inhibitor,DDR Inhibitor
DDR2 inhibitor,DDR Inhibitor
DLL4 Antibody,DLL Antibody
DNA_PK Inhibitor,DNA_PK Inhibitor
DNMT inhibitor (Pan),DNMT Inhibitor
DNMT1 inhibitor,DNMT Inhibitor
DOT1L Inhibitor,DOT Inhibitor
DYRK1A Inhibitor,DYRK Inhibitor
DYRK1B Inhibitor,DYRK Inhibitor
EGFR Antibody,EGFR Antibody
EGFR Immune Cell Therapy,EGFR Immunotherapy
EGFR Inhibitor (Pan),EGFR Inhibitor
EGFR Inhibitor 1st gen,EGFR Inhibitor
EGFR Inhibitor 2nd gen,EGFR Inhibitor
EGFR Inhibitor 3rd gen,EGFR Inhibitor
EHMT2 Inhibitor,EHMT Inhibitor
EPHB4 Inhibitor,EPH Inhibitor
ERK Inhibitor (pan),ERK Inhibitor
ERK1 Inhibitor,ERK Inhibitor
ERK2 Inhibitor,ERK Inhibitor
EZH1 inhibitor,EZH Inhibitor
EZH2 inhibitor,EZH Inhibitor
FAK inhibitor,FAK Inhibitor
Farnesyltransferase Inhibitor,Farnesyltransferase Inhibitor
FASN Inhibitor,FASN Inhibitor
FGFR Inhibitor (Pan),FGFR Inhibitor
FGFR1 Inhibitor,FGFR Inhibitor
FGFR2 Antibody,FGFR Antibody
FGFR2 Inhibitor,FGFR Inhibitor
FGFR3 Antibody,FGFR Antibody
FGFR3 Inhibitor,FGFR Inhibitor
FGFR4 Antibody,FGFR Antibody
FGFR4 Inhibitor,FGFR Inhibitor
FLT3 Inhibitor,FLT Inhibitor
FOLR1-targeted Therapy,FOLR Targeted Therapy
FRK Inhibitor,FRK Inhibitor
FRK Inhibitor(obsoleted),FRK Inhibitor
Gamma secretase inhibitor,Gamma secretase Inhibitor
GITR Antibody,GITR Antibody
GLI1/2 inhibitor,GLI Inhibitor
GR Antagonist,GR Antagonist
GSK-3alpha Inhibitor,GSK Inhibitor
GSK-3beta Inhibitor,GSK Inhibitor
GSK3 Inhibitor (Pan),GSK Inhibitor
HDAC Inhibitor,HDAC Inhibitor
HER inhibitor (Pan),HER Inhibitor
HER2 (ERBB2) Antibody,HER Antibody
HER2 (ERBB2) Immune Cell Therapy,HER Immunotherapy
HER2 (ERBB2) Vaccine,HER Vaccine
HER2 Inhibitor,HER Inhibitor
HER2-targeted immunotherapy,HER Immunotherapy
HER3 (ERBB3) Antibody,HER Antibody
HER3 Inhibitor,HER Inhibitor
HER3-targeted immunotherapy,HER Immunotherapy
HGF Antibody,HGF Antibody
HGF-targeted immunotherapy,HGF Immunotherapy
Hormone - Anti-androgens,Hormone Therapy
Hormone - Anti-estrogens,Hormone Therapy
Hormone - Anti-progestins,Hormone Therapy
Hormone Antineoplastics,Hormone Therapy
HRAS Inhibitor,RAS Inhibitor
HSP90 Inhibitor,HSP Inhibitor
IDH Inhibitor (Pan),IDH Inhibitor
IDH1 Inhibitor,IDH Inhibitor
IDH2 Inhibitor,IDH Inhibitor
IDO1 Inhibitor,IDO Inhibitor
IGF-1R Inhibitor,IGF-1R Inhibitor
IGF-targeted immunotherapy,IGF Immunotherapy
IGF1/2 Antibody,IGF Antibody
IGF1R Antibody,IGF Antibody
Immune Checkpoint Inhibitor,Immune Checkpoint Inhibitor
IRAK1/4 Inhibitor,IRAK Inhibitor
