"ConceptCode","ActiveConcept_Flag","Skip_Flag","Bypass_Flag","Novel_Flag","Update_Flag","UpdateReason","ReviewDate","Antineoplastic_Flag","Immuno_Flag","DrugCategory","PreferredName","DisplayName","FirstSynonym","Definition","Modulator"
"C100089",-1,0,0,0,0,,3/7/2019 0:00:00,0,0,"Other","Interferon Gamma-1b","Interferon Gamma-1b",,,
"C1001",-1,0,0,0,0,,11/28/2018 0:00:00,0,0,"Other","Rintatolimod","Rintatolimod","Rintatolimod","A synthetic derivative of inosinic acid with antiretroviral and immunomodulatory properties. Atvogen acts through a number of pathways to stimulate intracellular antiviral activity of the immune system: it stimulates interferon production; activates the oligoadenylate synthase-RNase L pathway; stimulates natural killer cell activity; and acts as a non-mitogenic stimulator of the immune system. This agent also inhibits replication of human immunodeficiency virus (HIV) in vitro. (NCI04)",
"C1005",-1,0,0,0,0,,11/8/2018 0:00:00,-1,0,"Other","Arsenic Trioxide","Arsenic Trioxide","Arsenic Trioxide","A small-molecule arsenic compound with antineoplastic activity.  The mechanism of action of arsenic trioxide is not completely understood. This agent causes damage to or degradation of the promyelocytic leukemia protein/retinoic acid receptor-alpha (PML/RARa) fusion protein; induces apoptosis in acute promyelocytic leukemia (APL) cells and in many other tumor cell types; promotes cell differentiation and suppresses cell proliferation in many different tumor cell types; and is pro-angiogenic. (NCI04)",
"C1006",-1,0,0,0,0,,11/8/2018 0:00:00,0,0,"Other","Ossirene","Ossirene","Ammonium Trichlorotellurate","A synthetic non-toxic tellurium derivative, structurally similar to cisplatin, with immunostimulatory and anti-hair loss properties. Ammonium trichlorotellurate induces production of colony stimulating factor (CSF), interleukin-2 (IL-2), and IL-2 receptors by increasing the calcium ion influx through the cell membrane and subsequently exerts its immunostimulatory effects through the CSF-mediated increase in macrophage/granulocytes. This agent is also a potent inducer of interferon and a spectrum of cytokines such as IL-1, IL-6, and tumor necrosis factor (TNF). In animal studies, ammonium trichlorotellurate exerts its anti-hair loss effect by inducing anagen and obstructing spontaneous catagen via promoting follicular keratinocyte proliferation and interfering with terminal differentiation, respectively.","Immunostimulator"
"C101132",-1,0,0,0,0,,11/9/2018 0:00:00,-1,0,"Targeted Therapy","ME-344","ME-344","mTOR1/2 Kinase Inhibitor ME-344","An active metabolite of NV-128, a novel flavonoid small molecule inhibitor of the mammalian Target of Rapamycin (mTOR), with potential antineoplastic activity. Upon administration, mTOR1/2 Kinase inhibitor ME-344 downregulates the PIK3/AKT/mTOR pathway and results in chromatin condensation in the absence of caspase activation. Consequently, this agent induces caspase-independent cell death in tumor cells with a de-regulated PIK3/AKT/mTOR pathway or chemotherapeutic resistant cells.","Antagonist"
"C101159",-1,0,0,0,0,,8/20/2019 0:00:00,0,0,"Other","HLA Class II Histocompatibility Antigen, DR Alpha Chain","HLA Class II Histocompatibility Antigen, DR Alpha Chain","HLA Class II Histocompatibility Antigen, DR Alpha Chain","HLA class II histocompatibility antigen, DR alpha chain (254 aa, ~29 kDa) is encoded by the human HLA-DRA gene. This protein plays a role in the presentation of antigen for recognition by CD4 T-cells.",
"C101227",-1,0,-1,0,0,,12/18/2018 0:00:00,0,0,"Targeted Therapy","Hsp90 Inhibitor PU-H71","Hsp90 Inhibitor PU-H71","Hsp90 Inhibitor PU-H71","A purine-based heat shock protein 90 (Hsp90) inhibitor with potential antineoplastic activity. Hsp90 inhibitor PU-H71 specifically inhibits active Hsp90, thereby inhibiting its chaperone function and promoting the proteasomal degradation of oncogenic signaling proteins involved in tumor cell proliferation and survival. This may result in the inhibition of cellular proliferation in susceptible tumor cell populations. Hsp90, a molecular chaperone protein, is upregulated in a variety of tumor cell types.",
"C101258",-1,0,-1,0,0,,11/8/2018 0:00:00,-1,0,"Other","CD19CAR-CD3zeta-4-1BB-expressing Allogeneic T-lymphocyte Cells","CD19CAR-CD3zeta-4-1BB-expressing Allogeneic T-lymphocyte Cells","CD19CAR-CD3zeta-4-1BB-expressing Allogeneic T-lymphocyte Cells","Allogeneic T-lymphocytes transduced with a modified lentiviral vector expressing a chimeric antigen receptor (CAR) consisting of an anti-CD19 scFv (single chain variable fragment) and the zeta chain of the TCR/CD3 complex (CD3-zeta), coupled to the signaling domain of 4-1BB (CD137), with potential immunomodulating and antineoplastic activities. Upon transfusion, CD19CAR-CD3zeta-4-1BB-expressing allogeneic T-lymphocyte cells direct the T-lymphocytes to CD19-expressing tumor cells, thereby inducing a selective toxicity in CD19-expressing tumor cells. The 4-1BB co-stimulatory molecule signaling domain enhances activation and signaling after recognition of CD19 and the inclusion of this signaling domain may increase the antitumor activity compared to the inclusion of the CD3-zeta chain alone. CD19 antigen is a B-cell specific cell surface antigen expressed in all B-cell lineage malignancies.","Antagonist"
"C101366",-1,0,0,0,0,,11/8/2018 0:00:00,-1,-1,"Immunomodulatory Immunotherapy","Chi Lob 7/4","Chi Lob 7/4","Anti-CD40 Monoclonal Antibody Chi Lob 7/4","An IgG1 chimeric monoclonal antibody agonist of the cell surface receptor CD40 with potential immunostimulatory and antineoplastic activities. Upon intravenous administration, anti-CD40 monoclonal antibody Chi Lob 7/4 binds to CD40 on a variety of immune cell types, triggering the cellular proliferation and activation of antigen-presenting cells (APCs), activating B cells and T cells, and enhancing the immune response; in addition, this agent binds to the CD40 antigen present on the surfaces of some solid tumor cells, resulting in complement-dependent cytotoxicity (CDC) and antibody-dependent cytotoxicity (ADCC) eventually resulting in decreased tumor growth. CD40, a member of the tumor necrosis factor (TNF) receptor superfamily, is expressed on various immune cells, many B-cell malignancies, and many solid tumors, mediating both indirect tumor cell death through the activation of the immune system and direct tumor cell apoptosis.","Immunomodulator"
"C101368",-1,0,0,0,0,,11/12/2018 0:00:00,-1,0,"Immunomodulatory Immunotherapy|Targeted Therapy","Danvatirsen","Danvatirsen","Danvatirsen","An antisense oligonucleotide targeting signal transducer and activator of transcription 3 (STAT3) with potential antitumor activity. Danvatirsen binds to STAT3 mRNA, thereby inhibiting translation of the transcript. Suppression of STAT3 expression induces tumor cell apoptosis and decreases tumor cell growth. STAT3, a protein overexpressed in a variety of human cancers, plays a critical role in tumor cell growth and survival.",
