"ConceptCode","Target_IDX","PreferredName","AnnotationDate","ActiveConcept_Flag","Skip_Flag","Bypass_Flag","LAM_Flag","HGNC_Symbol","GeneVariant"
"C100089",1,"Interferon Gamma-1b",3/7/2019 0:00:00,-1,0,0,0,,
"C1001",1,"Rintatolimod",11/28/2018 0:00:00,-1,0,0,0,,
"C1005",1,"Arsenic Trioxide",11/2/2018 0:00:00,-1,0,0,0,"PML","wildtype"
"C1005",2,"Arsenic Trioxide",11/2/2018 0:00:00,-1,0,0,0,"RARa","wildtype"
"C1006",1,"Ossirene",10/11/2018 0:00:00,-1,0,0,0,,
"C101132",1,"ME-344",10/11/2018 0:00:00,-1,0,0,0,"MTOR","wildtype"
"C101227",1,"PU-H71",12/18/2018 0:00:00,-1,0,0,0,"HSP90",
"C101258",1,"CD19CAR-CD3zeta-4-1BB-expressing Allogeneic T-lymphocyte Cells",10/31/2018 0:00:00,-1,0,0,0,"CD19","wildtype"
"C101366",1,"Chi Lob 7/4",10/30/2018 0:00:00,-1,0,0,0,"CD40","wildtype"
"C101368",1,"AZD9150",11/8/2018 0:00:00,0,0,0,0,"STAT3","wildtype"
"C101368",2,"Danvatirsen",4/10/2018 0:00:00,-1,0,0,0,"STAT3",
"C1014",1,"Verteporfin",9/26/2018 0:00:00,-1,0,0,0,,
"C101513",1,"Transarterial Chemoembolization",4/11/2019 0:00:00,-1,0,0,0,,
"C101519",1,"JNJ-40346527",11/8/2018 0:00:00,-1,0,0,0,"CSF1R","wildtype"
"C101520",1,"AKN-028",10/11/2018 0:00:00,-1,0,0,0,"FLT3","wildtype"
"C101520",2,"AKN-028",10/11/2018 0:00:00,-1,0,0,0,"KIT","wildtype"
"C101523",1,"TH-4000",9/26/2018 0:00:00,-1,0,0,0,"EGFR",
"C101523",2,"TH-4000",9/26/2018 0:00:00,-1,0,0,0,"ERBB2",
"C101523",3,"TH-4000",9/26/2018 0:00:00,-1,0,0,0,"ERBB3",
"C101523",4,"TH-4000",9/26/2018 0:00:00,-1,0,0,0,"ERBB4",
"C101532",1,"WX-554",10/11/2018 0:00:00,-1,0,0,0,"MAP2K1","wildtype"
"C101532",2,"WX-554",10/11/2018 0:00:00,-1,0,0,0,"MAP2K2","wildtype"
"C101538",1,"Molibresib",12/18/2018 0:00:00,-1,0,0,0,"BET",
"C101786",1,"AT13148",9/26/2018 0:00:00,-1,0,0,0,"AKT1",
"C101786",2,"AT13148",9/26/2018 0:00:00,-1,0,0,0,"AKT2",
"C101786",3,"AT13148",9/26/2018 0:00:00,-1,0,0,0,"AKT3",
"C101786",4,"AT13148",9/26/2018 0:00:00,-1,0,0,0,"RPS6KB1",
"C101786",5,"AT13148",9/26/2018 0:00:00,-1,0,0,0,"PKA",
"C101786",6,"AT13148",9/26/2018 0:00:00,-1,0,0,0,"ROCK1",
"C101786",7,"AT13148",9/26/2018 0:00:00,-1,0,0,0,"ROCK2",
"C101787",1,"TIL 1383I T Cell Receptor-Transduced Autologous T Cells",11/2/2018 0:00:00,-1,0,0,0,,
"C101790",1,"Alectinib",11/8/2018 0:00:00,-1,0,0,0,"ALK","ALK, ALK F1174L, ALK R1275Q, ALK L1196M"
"C101790",2,"Alectinib",11/8/2018 0:00:00,-1,0,0,0,"RET","wildtype"
"C101791",1,"Olmutinib",9/26/2018 0:00:00,-1,0,0,0,"EGFR",
"C101890",1,"Epidermal Growth Factor Ointment",10/11/2018 0:00:00,-1,0,0,0,"EGFR","wildtype"
"C101895",1,"Elgemtumab",9/26/2018 0:00:00,-1,0,0,0,"ERBB3",
"C102535",1,"AV-203",10/11/2018 0:00:00,-1,0,0,0,"ERBB3","wildtype"
"C102535",2,"AV-203",10/11/2018 0:00:00,-1,0,0,0,"NRG1","wildtype"
"C102546",1,"Selinexor",11/8/2018 0:00:00,-1,0,0,0,"XPO1","wildtype"
"C102554",1,"TAS-102",11/8/2018 0:00:00,-1,0,0,0,,
"C102564",1,"AZD5363",11/8/2018 0:00:00,-1,0,-1,0,"AKT","wildtype"
"C102564",2,"Capivasertib",11/8/2018 0:00:00,-1,0,0,0,"AKT","wildtype"
"C102566",1,"Mirvetuximab Soravtansine",11/8/2018 0:00:00,-1,0,0,0,"FOLR1","wildtype"
"C102569",1,"sEphB4-HSA",11/8/2018 0:00:00,-1,0,0,0,"EFNB2","wildtype"
"C102571",1,"Epoetin Zeta",9/27/2018 0:00:00,-1,-1,0,0,"EPO",
"C1027",1,"Budesonide",11/8/2018 0:00:00,-1,0,0,0,,
"C102746",1,"E7449",9/27/2018 0:00:00,-1,0,0,0,"PARP1",
"C102746",2,"E7449",9/27/2018 0:00:00,-1,0,0,0,"PARP2",
"C102751",1,"WT2725",10/11/2018 0:00:00,-1,0,0,0,"WT1","wildtype"
"C102754",1,"Ensartinib",11/8/2018 0:00:00,-1,0,0,0,"ALK","wildtype"
"C102754",2,"Ensartinib",11/8/2018 0:00:00,-1,0,0,0,"MET","wildtype"
"C102754",3,"Ensartinib",11/8/2018 0:00:00,-1,0,0,0,"ABL1","wildtype"
"C102754",4,"Ensartinib",11/8/2018 0:00:00,-1,0,0,0,"AXL","wildtype"
"C102754",5,"Ensartinib",11/8/2018 0:00:00,-1,0,0,0,"EPHA2","wildtype"
"C102754",6,"Ensartinib",11/8/2018 0:00:00,-1,0,0,0,"LTK","wildtype"
"C102754",7,"Ensartinib",11/8/2018 0:00:00,-1,0,0,0,"ROS1","wildtype"
"C102754",8,"Ensartinib",11/8/2018 0:00:00,-1,0,0,0,"SLK","wildtype"
"C102758",1,"CD19CAR-CD3zeta-4-1BB-expressing Autologous T-lymphocytes",11/2/2018 0:00:00,-1,0,0,0,"CD19","wildtype"
"C102783",1,"Sacituzumab Govitecan",2/28/2019 0:00:00,-1,0,0,0,"TROP2",
"C102789",1,"Inducible CD4+CD25+ Regulatory T Cells",10/15/2018 0:00:00,-1,0,0,0,,
"C102849",1,"CIGB-300",10/15/2018 0:00:00,-1,0,0,0,"CSNK2A1","wildtype"
"C102849",2,"CIGB-300",10/15/2018 0:00:00,-1,0,0,0,"CSNK2A2","wildtype"
"C102849",3,"CIGB-300",10/15/2018 0:00:00,-1,0,0,0,"CSNK2B","wildtype"
"C102852",1,"Fruquintinib",3/5/2019 0:00:00,-1,0,0,0,"EGFR",
"C102853",1,"IMC-TR1",9/12/2017 0:00:00,-1,0,0,0,"TGFB2",
"C102876",1,"Tirabrutinib",10/15/2018 0:00:00,-1,0,0,0,"BTK","wildtype"
"C102877",1,"Tanibirumab",9/27/2018 0:00:00,-1,0,0,0,"KDR",
"C102881",1,"Thioureidobutyronitrile",9/27/2018 0:00:00,-1,0,0,0,"TP53",
"C102910",1,"RP1",2/15/2019 0:00:00,-1,0,0,0,,
"C102978",1,"Apoptotic Autologous Tumor Cells-pulsed Alpha-type-1 Polarized Dendritic Cells",11/2/2018 0:00:00,-1,0,0,0,,
"C103147",1,"Venetoclax",11/8/2018 0:00:00,-1,0,0,0,"BCL2","wildtype"
"C103192",1,"Plasmacytoid Dendritic Cell Vaccine",11/2/2018 0:00:00,-1,0,0,0,,
"C103194",1,"Durvalumab",11/8/2018 0:00:00,-1,0,0,0,"CD274","wildtype"
"C103273",1,"Erdafitinib",11/8/2018 0:00:00,-1,0,0,0,"FGFR1","wildtype"
"C103273",2,"Erdafitinib",11/8/2018 0:00:00,-1,0,0,0,"FGFR2","wildtype"
"C103273",3,"Erdafitinib",11/8/2018 0:00:00,-1,0,0,0,"FGFR3","wildtype"
"C103273",4,"Erdafitinib",11/8/2018 0:00:00,-1,0,0,0,"FGFR4","wildtype"
"C103274",1,"Brontictuzumab",9/27/2018 0:00:00,-1,0,0,0,"NOTCH1",
"C103277",1,"Acalisib",9/27/2018 0:00:00,-1,0,0,0,"PIK3CA",
"C103820",1,"Lirilumab",11/8/2018 0:00:00,-1,0,0,0,"KIR","wildtype"
"C103823",1,"PVX-410",11/8/2018 0:00:00,-1,0,0,0,"SDC1","wildtype"
"C103823",2,"PVX-410",11/8/2018 0:00:00,-1,0,0,0,"XBP1","wildtype"
"C103823",3,"PVX-410",11/8/2018 0:00:00,-1,0,0,0,"SLAMF7","wildtype"
"C103826",1,"Taladegib",9/27/2018 0:00:00,-1,0,0,0,"SMO",
"C103827",1,"MT112",10/15/2018 0:00:00,-1,0,0,0,"CD3E",
"C103857",1,"PAT-SM6",10/16/2018 0:00:00,-1,0,0,0,"HSPA5","wildtype"
"C103859",1,"Vofatamab",2/8/2019 0:00:00,-1,0,0,0,"FGFR3",
"C103861",1,"BAY1082439",9/27/2018 0:00:00,-1,0,0,0,"PIK3CA",
"C103861",2,"BAY1082439",9/27/2018 0:00:00,-1,0,0,0,"PIK3CB",
"C103863",1,"Istiratumab",10/16/2018 0:00:00,-1,0,0,0,"IGF1R","wildtype"
"C103863",2,"Istiratumab",10/16/2018 0:00:00,-1,0,0,0,"ERBB3","wildtype"
"C104006",1,"Anti-CD20-CAR-CD3zeta-4-1BB-expressing Autologous T-lymphocyte Cells",10/31/2018 0:00:00,-1,0,0,0,"MS4A1","wildtype"
"C104008",1,"Fimepinostat",11/8/2018 0:00:00,-1,0,0,0,"PIK3CA","wildtype"
"C104008",2,"Fimepinostat",11/8/2018 0:00:00,-1,0,0,0,"PIK3CB","wildtype"
"C104008",3,"Fimepinostat",11/8/2018 0:00:00,-1,0,0,0,"PIK3CD","wildtype"
